# fen|wdl|wdl state|dtz|dtz state from Stockfish 13 probe_wdl and probe_dtz, generated by tools/syzygy_reference.py
8/4p3/1P6/3N4/8/K7/7k/8 b - - 0 1|-2|1|-2|2
8/6B1/5b2/5K2/8/8/8/1k6 w - - 0 1|0|1|0|1
4n3/5K2/1k6/8/8/8/6b1/8 b - - 0 1|2|1|52|1
8/8/5k2/4pP2/8/8/3K4/8 w - e6 0 1|0|1|0|1
3n4/7k/3p4/1q6/8/1K6/8/8 w - - 0 1|-2|1|-2|2
8/8/8/8/8/5K2/6n1/5k2 b - - 0 1|0|1|0|1
8/8/8/5k2/8/7p/2K5/8 b - - 0 1|2|1|1|2
6Kb/k7/8/8/8/5p2/3N4/8 b - - 0 1|0|1|0|1
8/3K4/8/8/5pP1/8/7N/7k b - g3 0 1|0|1|0|1
8/3B1k2/8/3p4/4N3/K7/8/8 w - - 0 1|2|1|5|1
8/8/2KR4/8/3b4/7p/7k/8 w - - 0 1|0|1|0|1
8/1q6/8/8/8/2N1K2R/2k5/8 w - - 0 1|0|1|0|1
8/8/8/4n3/4Pr2/8/2K2k2/8 w - - 0 1|-2|1|-2|2
2K5/8/8/4k3/Pp6/8/8/8 b - a3 0 1|2|2|1|2
6r1/p3K3/1k6/8/8/8/5q2/8 b - - 0 1|2|1|1|2
8/4k3/5p2/8/1K1N4/8/8/5R2 b - - 0 1|-2|1|-8|2
8/5k2/8/8/6Pp/8/8/2KN4 b - g3 0 1|0|1|0|1
2R5/8/k6N/8/8/5r2/8/4K3 w - - 0 1|0|1|0|1
8/8/1r6/8/1k1K4/8/8/3b4 b - - 0 1|2|1|15|1
n7/8/4k3/7K/8/7q/8/8 w - - 0 1|-2|1|-6|1
8/4Q3/6R1/4k3/8/8/3K4/8 b - - 0 1|-2|1|-4|1
8/8/2K5/6R1/8/8/1k4n1/8 w - - 0 1|2|2|1|2
4k3/6K1/8/8/3Pp3/6Q1/8/8 b - d3 0 1|-2|1|-2|2
8/4N3/3K4/8/8/8/8/2r2k2 w - - 0 1|0|1|0|1
8/8/4k3/8/6r1/7K/8/8 w - - 0 1|0|1|0|1
7b/2K5/8/8/8/8/8/2k5 w - - 0 1|0|1|0|1
B7/5k2/8/7R/7p/8/K7/8 w - - 0 1|2|2|1|2
2Bk4/8/8/7P/8/7K/8/7r w - - 0 1|0|1|0|1
8/1k6/8/3Pp3/8/K7/8/8 w - e6 0 1|0|1|0|1
8/8/8/3k4/5Q2/3K4/8/R1Q5 b - - 0 1|-2|1|-4|1
8/8/8/1Bp5/8/7k/2K5/8 w - - 0 1|0|1|0|1
8/8/6Q1/1k6/2pP4/2K5/8/8 b - d3 0 1|-2|1|-2|2
8/8/1KP5/8/2k5/4P3/6n1/8 b - - 0 1|0|1|0|1
8/8/8/7K/8/6p1/8/7k w - - 0 1|-2|1|-2|2
6k1/8/8/8/Pp6/6r1/1K6/8 b - a3 0 1|2|2|1|2
2n5/8/8/5k2/8/1K6/8/8 w - - 0 1|0|1|0|1
8/8/8/4Pp2/8/7k/8/7K w - f6 0 1|2|2|1|2
8/8/8/8/6pP/3K4/8/k7 b - h3 0 1|2|2|1|2
8/8/8/6K1/3kN3/8/7p/8 w - - 0 1|0|1|0|1
8/2k5/8/6K1/8/5p2/8/1B6 w - - 0 1|0|1|0|1
8/5B2/8/2P5/2k5/8/1B6/5K2 b - - 0 1|-2|1|-2|2
2K5/8/8/3p4/8/8/3pN3/3k4 w - - 0 1|-2|1|-8|2
3N4/8/8/8/K7/5r2/8/5k2 w - - 0 1|0|1|0|1
4K3/8/8/3k1pP1/8/3b4/8/8 w - f6 0 1|0|1|0|1
8/4n3/p1k5/8/Q7/8/8/4K3 b - - 0 1|-2|1|-4|2
3K4/8/k7/8/6Pp/8/8/8 b - g3 0 1|2|2|1|2
2K5/4kp2/8/p7/8/8/8/8 b - - 0 1|2|1|1|2
8/2r5/8/2R5/4R3/6K1/1k6/8 b - - 0 1|0|1|0|1
5K2/8/7k/8/8/8/7b/8 w - - 0 1|0|1|0|1
8/8/6r1/8/4p1K1/8/3p3k/8 w - - 0 1|-2|1|-2|2
5K2/8/4k3/7p/6R1/2R5/8/8 w - - 0 1|2|1|3|1
2K5/8/8/8/3pP3/8/8/1k6 b - e3 0 1|2|2|1|2
8/3b1N2/8/3K1k2/8/8/5R2/8 b - - 0 1|-2|1|-20|1
8/8/8/3Kp3/1k2B3/8/8/8 w - - 0 1|0|1|0|1
3k4/8/8/8/K7/3n4/8/8 w - - 0 1|0|1|0|1
8/8/2K5/6n1/8/8/6k1/1N6 w - - 0 1|0|1|0|1
8/8/3R4/8/8/5R2/5k2/1b5K b - - 0 1|0|1|0|1
8/8/2p5/4K3/8/k7/8/8 b - - 0 1|2|1|1|2
8/8/k7/nq6/8/3K4/8/6n1 w - - 0 1|-2|1|-8|1
8/1K6/8/k1r5/8/1P2P3/8/8 b - - 0 1|2|1|3|1
6B1/8/8/3n4/6R1/2k4K/8/8 b - - 0 1|-2|1|-28|2
2q3n1/8/8/3P4/8/5K2/k7/8 w - - 0 1|-2|1|-4|1
8/k7/8/7K/P7/8/8/1N6 b - - 0 1|-2|1|-18|2
8/8/4k3/8/4n2K/pB6/8/8 b - - 0 1|2|1|13|1
8/8/2k3p1/6r1/2K5/8/8/8 b - - 0 1|2|1|3|1
5K2/8/8/8/4N3/8/6k1/8 b - - 0 1|0|1|0|1
8/1K6/8/1b6/6pP/8/7k/8 w - - 0 1|-2|1|-2|2
8/n7/p4p2/5K2/8/1k6/8/8 b - - 0 1|2|1|1|2
1K6/8/6bB/8/2P5/8/k7/8 w - - 0 1|0|1|0|1
2N5/8/K7/3n4/8/4k3/6P1/8 b - - 0 1|0|1|0|1
8/1P6/3K4/8/8/7k/8/7n w - - 0 1|2|1|1|2
8/8/8/3k4/2p5/K7/8/8 w - - 0 1|0|1|0|1
5B2/5k1P/8/5K2/7r/8/8/8 b - - 0 1|2|2|1|2
k3K3/8/8/8/8/8/3R4/8 w - - 0 1|2|1|9|1
8/8/2n5/5K2/1k4pP/8/8/8 b - h3 0 1|2|2|1|2
8/8/8/8/7P/4K3/R3P3/7k b - - 0 1|-2|1|-2|2
8/3P4/8/7n/8/P5k1/1K6/8 w - - 0 1|2|1|1|2
7N/K7/8/8/2R5/N7/8/7k w - - 0 1|2|1|9|1
1kb5/8/8/2Pp4/K7/8/8/8 w - d6 0 1|0|1|0|1
